http://linkedgeodata.org/ontology/opening_hours	
"n_so"	"o"
8	"Mo-Fr 10:00-18:00"
8	"12:00-22:00"
8	"Mo-Sa 10:00-22:00;Su 11:00-22:00"
8	"11:30-22:00"
8	"Mo-Su 11:00-23:30"
8	"06:00-23:00"
8	"Mo-Sa 11:00-23:00; Su 12:00-23:00"
8	"Mo-Su 10:00-21:30"
8	"Mo-Sa 10:30-20:00"
8	"Mo-Su 10:00-22:30"
8	"Mo-Fr 07:00-16:00"
8	"Mo-Fr 11:00-20:00"
8	"Tu-Su 08:00-15:00;Sa 08:00-12:00"
7	"fixme"
7	"Mo-Su 07:00-21:00"
7	"Mo-Fr 10:00-20:00; Sa 10:00-18:00"
7	"12:00-23:00"
7	"09:00-20:00"
7	"Su off"
7	"11:00-16:00"
7	"Mo-Fr 09:00-22:00; Sa-Su 10:00-22:00"
7	"17:00-23:00"
7	"Mo-Fr 11:30-14:00"
7	"Mo-Su 7:00-22:00"
7	"Mo-Fr 10:00-22:00; Sa-Su 11:00-22:00"
7	"Mo-Sa 11:00-22:00; Su 11:00-21:00"
7	"Mo-Su 11:30-22:30"
7	"Mo-Sa 10:30-21:00"
7	"Mo-Fr 08:30-18:00"
7	"Mo-Fr 11:00-22:00"
7	"11:00-01:00"
7	"11:00-25:00"
7	"off"
7	"Mo-Fr 10:00-22:00"
7	"Mo-Su 11:00-18:00"
7	"Mo-Sa 10:30-21:00; Su 11:00-20:00"
7	"24"
6	"Mo-Th 11:00-23:00; Fr-Sa 11:00-24:00; Su 11:00-23:00"
6	"Mo-Fr 11:30-16:00"
6	"Mo-Fr 12:00-15:00"
6	"08:00-24:00"
6	"Mo-Su 10:00-18:00"
6	"Mo-Fr 09:00-15:00"
6	"11:30-23:00"
6	"Mo-Fr 08:00-14:00"
6	"Mo-Fr 10:00-19:00"
6	"Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-22:00"
6	"Mo-Fr 09:00-19:00"
6	"Mo-Sa 10:00-21:00; Su 11:00-21:00"
6	"8:00-22:00"
6	"10:00-02:00"
6	"Mo-Fr 11:00-22:00; Sa,Su 12:00-22:00"
6	"9:00-21:00"
6	"Mo-Fr 07:30-15:00"
6	"Mo-Su 11:00-22:00; Fr,Sa 11:00-23:00"
6	"Mo-Su 12:00-21:00"
6	"09:00-24:00"
6	"Mo-Su 10:00-01:00"
6	"Tu-Su 11:00-21:00"
6	"Mo-Fr 09:00-16:00"
6	"Mo-Fr 09:00-19:00; Sa 09:00-18:00"
6	"Mo-Sa 10:00-19:00"
6	"Mo-Su 17:00-22:30"
6	"Mo-Fr 08:00-20:00"
6	"Mo-Fr 07:00-14:00"
6	"Mo-Sa 11:00-24:00; Su 12:00-24:00"
6	"Mo-Su 12:00-22:30"
6	"Mo-Fr 11:30-14:30"
6	"Mo-Fr 09:00-21:00"
6	"11:00-22:30"
6	"Mo-Fr 10:00-16:00"
6	"7:00-22:00"
6	"Mo-Fr 06:00-14:00"
6	"Tu-Su 12:00-22:00"
6	"Mo-Su 05:00-23:00"
6	"Mo-Sa 06:00-23:59;Su 07:00-23:59"
6	"Su,Mo,Tu,Th 10:00-21:00; We 10:00-21:30; Fr,Sa 10:00-22:00"
5	"Mo off"
5	"closed"
5	"Mo-Su,PH 11:00-23:00"
5	"Tu-Su 17:00-23:00"
5	"Mo-Sa"
5	"Mo-Fr 11:00-21:00;Sa 12:00-21:00;Su off"
5	"11:00 - 23:00"
5	"Mo-Sa 09:00-22:00"
5	"Mo-Su 10:00-05:00"
5	"Mo-Sa 11:00-22:00; Su 13:00-22:00"
5	"16:00-21:00"
5	"11:00-23:30"
5	"Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 12:00-22:00"
5	"Mo-Sa 09:30-19:00"
5	"11:00-02:00"
5	"Su-Th 11:00-21:00; Fr-Sa 11:00-22:00"
5	"08:00-19:00"
5	"open"
5	"Mo-Th 11:00-23:00; Fr,Sa 11:00-24:00; Su 12:00-23:00"
5	"Mo-Su 09:00-00:00"
5	"Mo-Su 16:00-23:00"
5	"Mo-Sa 07:00-20:00"
5	"Mo-Fr 08:00-17:00"
5	"11:00-00:00"
5	"Mo-Fr 10:00-15:00"
5	"Mo-Fr 07:00-22:00;Sa 08:00-22:00;Su 09:00-22:00"
5	"Su,Mo-We 08:00-23:00; Th-Sa 08:00-02:00"
5	"06:00-22:00"
5	"Mo-Sa 08:00-16:00"
5	"Mo-Sa 10:00-21:00; Su 12:00-20:00"
5	"Mo-Th 08:00-01:00; Fr-Sa 08:00-03:00; Su 09:00-01:00"
5	"Mo-Su 06:30-24:00"
5	"Mo-Su 09:00-01:00"
5	"Mo-Su 11:00-22:00; Tu off"
5	"12:00-22:30"
